Date,Cases,Deaths,Recovered,Travel_history,Province,City,Latitude (generated),Longitude (generated),Active Cases
2020-03-31,1,0,0,Local - Social Contact,Punjab,Mianwali,32.574,71.526,1
2020-03-31,1,0,0,Local - Social Contact,Punjab,Rahim Yar Khan,28.424043,70.300054,1
2020-03-31,5,0,0,Local - Social Contact,Punjab,Hafizabad,32.067,73.685,5
2020-03-31,1,0,0,Local - Social Contact,Punjab,Kasur,31.115,74.446,1
2020-03-31,1,0,0,Local - Social Contact,Punjab,Laiya,30.961,70.939,1
2020-03-31,16,0,0,Local - Social Contact,Sindh,Hyderabad,25.3763,68.3432,16
2020-03-31,0,0,10,Iran/Taftan,Sindh,Sukkur,27.7221,68.8333,-10
2020-03-31,94,0,0,Tableeghi Jamaat,Sindh,Hyderabad,25.3763,68.3432,94
2020-03-31,1,0,0,Local - Social Contact,Sindh,Jacobabad,28.286,68.433,1
2020-03-31,14,0,17,Iran/Taftan,Balochistan,Quetta,30.1802,66.9964,-3
2020-03-31,37,0,0,Unknown,Gilgit-Baltistan,Nagar,36.273351,74.726677,37
2020-03-31,0,0,0,Unknown,Khyber Pakhtunkhwa,Peshawar,34.0114,71.5645,0
2020-03-31,1,0,0,Local - Social Contact,FATA,Bajaur,34.782749,71.532708,1
2020-03-31,3,0,0,Unknown,Khyber Pakhtunkhwa,Dera Ismail Khan,31.832,70.902,3
2020-03-31,1,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Haripur,33.999,72.934,1
2020-03-31,10,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Kohat,33.586,71.442,10
2020-03-31,1,0,5,Local - Social Contact,Khyber Pakhtunkhwa,Mardan,34.198,72.045,-4
2020-03-31,1,0,0,Iran/Taftan,FATA,Kurrum,33.706747,70.389776,1
2020-03-31,4,1,10,Iran/Taftan,Khyber Pakhtunkhwa,Dera Ismail Khan,31.832,70.902,-7
2020-03-31,10,0,0,Unknown,Khyber Pakhtunkhwa,Peshawar,34.0114,71.5645,10
2020-04-01,13,0,0,International Passenger,Islamabad,Islamabad,33.7194,73.0741,13
2020-04-01,2,0,0,Unknown,AJK,Bhambore,0.0,0.0,2
2020-04-01,1,0,0,Unknown,AJK,Trarkhel,0.0,0.0,1
2020-04-01,1,1,0,Local - Social Contact,Khyber Pakhtunkhwa,Bannu,32.989,70.606,0
2020-04-01,1,1,0,Local - Social Contact,Khyber Pakhtunkhwa,Peshawar,34.0114,71.5645,0
2020-04-01,0,0,2,Local - Social Contact,Khyber Pakhtunkhwa,Nowshera,33.996,72.013,-2
2020-04-01,3,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Abbottabad,34.15,73.2138,3
2020-04-01,1,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Dir Upper,35.305038,72.096277,1
2020-04-01,2,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Haripur,33.999,72.934,2
2020-04-01,1,0,0,Local - Social Contact,FATA,Khyber,33.979947,71.139336,1
2020-04-01,1,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Kohat,33.586,71.442,1
2020-04-01,2,0,0,Local - Social Contact,FATA,Kurrum,33.706747,70.389776,2
2020-04-01,2,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Mansehra,34.333,73.2,2
2020-04-01,7,0,10,Local - Social Contact,Khyber Pakhtunkhwa,Mardan,34.198,72.045,-3
2020-04-01,1,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Orakzai,33.715754,71.005449,1
2020-04-01,1,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Tank,32.221,70.379,1
2020-04-01,1,0,0,Local - Social Contact,FATA,South Waziristan,32.399536,69.727014,1
2020-04-01,33,1,3,Local - Social Contact,Sindh,Karachi,24.8709,67.1145,29
2020-04-01,2,0,0,Local - Social Contact,Punjab,Lodhran,29.54,71.633,2
2020-04-01,48,0,0,Local - Social Contact,Punjab,Lahore,31.4978,74.3601,48
2020-04-01,7,1,0,Local - Social Contact,Punjab,Rawalpindi,33.5546,73.1064,6
2020-04-01,6,0,0,Local - Social Contact,Balochistan,Quetta,30.1802,66.9964,6
2020-04-01,28,0,0,Local - Social Contact,Punjab,Gujrat,32.572,74.089,28
2020-04-01,2,0,0,Local - Social Contact,Punjab,Gujranwala,32.1547,74.1804,2
2020-04-01,1,0,0,Local - Social Contact,Punjab,Narowal,32.1,74.883,1
2020-04-01,8,0,0,Local - Social Contact,Punjab,Sargodha,32.0778,72.6722,8
2020-04-01,1,0,0,Local - Social Contact,Punjab,Sialkot,32.4836,74.556,1
2020-04-01,2,0,0,Local - Social Contact,Punjab,Bahawal Nagar,30.55,73.39,2
2020-04-01,16,0,0,Iran/Taftan,Punjab,Multan,30.1735,71.469,16
2020-04-01,63,0,0,Iran/Taftan,Punjab,Raiwind,31.254,74.217,63
2020-04-02,27,0,0,Tableeghi Jamaat,Punjab,Raiwind,31.254,74.217,27
2020-04-01,3,0,0,Iran/Taftan,Punjab,Faisalabad,31.4155,73.0908,3
2020-04-02,3,1,0,Unknown,Gilgit-Baltistan,Astore,35.347533,74.861062,2
2020-04-02,32,1,9,Local - Social Contact,Sindh,Karachi,24.8709,67.1145,22
2020-04-02,0,1,0,Tableeghi Jamaat,Sindh,Hyderabad,25.3763,68.3432,-1
2020-04-02,0,0,2,Iran/Taftan,Sindh,Sukkur,27.7221,68.8333,-2
2020-04-02,21,1,0,Unknown,Punjab,Lahore,31.4978,74.3601,20
2020-04-02,4,0,0,Unknown,Islamabad,Islamabad,33.7194,73.0741,4
